gpu,vram_gb,provider,usd_hr
RTX 3090,24,Vast.ai,0.85
RTX 4090,24,Vast.ai,0.95
RTX 4090,24,RunPod,1.00
L4,24,Modal,0.75
L4,24,OVHcloud,0.95
A10,24,Lambda,1.10
A10,24,OVHcloud,1.20
L40S,48,Vast.ai,0.90
L40S,48,Modal,1.05
A100 40GB (PCIe),40,Vast.ai,1.20
A100 40GB (PCIe),40,Lambda,1.40
A100 80GB (SXM/PCIe),80,Vast.ai,1.80
A100 80GB (SXM/PCIe),80,RunPod,2.20
A100 80GB (SXM/PCIe),80,Lambda,2.60
A100 80GB (SXM/PCIe),80,Modal,2.80
H100 80GB (PCIe/SXM),80,RunPod,3.10
H100 80GB (PCIe/SXM),80,Vultr,3.20
H100 80GB (PCIe/SXM),80,Lambda,3.25
H100 80GB (PCIe/SXM),80,Modal,3.29
H200 141GB,141,GetDeploying,9.50
H200 141GB,141,Vast.ai,7.50
H200 141GB,141,Vultr,10.60
