month,leads,wins,gpu_rev_eur,gpu_cogs_eur,mgmt_fee_eur,net_eur
1,6.14,0.0,0.0,0.0,0.0,0.0
2,6.13,0.0,0.0,0.0,0.0,0.0
3,6.14,0.0,0.0,0.0,0.0,0.0
4,6.14,1.23,554.36,422.34,614.0,746.02
5,6.15,1.23,553.85,421.95,613.43,745.33
6,6.15,1.23,554.16,422.18,613.77,745.75
7,6.15,1.23,554.36,422.34,614.0,746.02
8,6.15,1.23,554.81,422.68,614.5,746.63
9,6.15,1.23,555.25,423.02,614.99,747.23
10,6.14,1.23,555.68,423.34,615.46,747.8
11,6.13,1.23,555.25,423.02,614.99,747.23
12,6.15,1.23,554.81,422.68,614.5,746.63
13,6.14,1.23,554.36,422.34,614.0,746.02
14,6.13,1.23,553.85,421.95,613.43,745.33
15,6.14,1.23,554.81,422.68,614.5,746.63
16,6.14,1.23,554.36,422.34,614.0,746.02
17,6.15,1.23,553.85,421.95,613.43,745.33
18,6.15,1.23,554.16,422.18,613.77,745.75
19,6.15,1.23,554.36,422.34,614.0,746.02
20,6.15,1.23,554.81,422.68,614.5,746.63
21,6.15,1.23,555.25,423.02,614.99,747.23
22,6.14,1.23,555.68,423.34,615.46,747.8
23,6.13,1.23,555.25,423.02,614.99,747.23
24,6.15,1.23,554.81,422.68,614.5,746.63
